          source           |     relationship     |          target           
 Oliver Stone              | Supporter Of         | Hugo Chavez
 Oliver Stone              | Founder Of           | JFK
 Oliver Stone              | Employer Of          | JFK
 Oliver Stone              | Employer Of          | Tom Cruise
 Olivetan                  | Lives In             | Strasbourg
 Olivétan                  | Cousin Of            | John Calvin
 O’Mahony                  | Interacted With      | Stenson
 Omar Mateen               | Member Of            | ISIL
 ONI                       | Employer Of          | Lucky Luciano
 Operation CHAOS           | Employer Of          | CIA
 Operation CHAOS           | Employer Of          | White House
 Opus Dei                  | Employer Of          | Chicago
 Opus Dei                  | Founder Of           | Josemaría Escrivá
 Oral Çelik                | Member Of            | Grey Wolf
 Orazio Giannini           | Leader Of            | Guardia di Finanza
 Orazio Giannini           | Employee Of          | Guardia di Finanza
 Orazio Giannini           | Member Of            | P2
 Ordeo                     | Subordinate Of       | United Trading Company
 Ordibarii                 | Subordinate Of       | Ortheb of Strassburg
 Oriol family              | Supporter Of         | Marcial Maciel Degollado
 Orsini clan               | Owner Of             | Castello Orsini-Odescalch
 Orsini clan               | Rival Of             | Colonna
 Orso Orsini               | Lives In             | Tuscany
 Orthodox Church           | Opponent Of          | Lev Nikolayevich Leo Tols
 Orthodox Church of Serbia | Employer Of          | Dr. Milos Sekulich
 Orval Cooney              | Leader Of            | Des Moines Police
 Osama bin Laden           | Member Of            | al Qaeda
 Osama bin Laden           | Employer Of          | Ayman al Zawahri
 Oscar Danilo Blandón      | Lives In             | Los Angeles
 Oscar Rodriguez Maradiaga | Colleague Of         | Pope Francis
 Oscar Rodríguez Maradiaga | Member Of            | G8
 Oscar Rodríguez Maradiaga | Leader Of            | Opus Dei
 Osiris                    | Parent Of            | Horus
 Osiris                    | Spouse Of            | Isis
 Osiris                    | Enemy Of             | Set
 Osman Gazi                | Founder Of           | Ottoman Empire
 Ospray Bookmakers         | Lives In             | Reno, Nevada
 Ospray Bookmakers         | Subordinate Of       | THE ORDER OF SIMON PETER
 Osservatore Romano        | Supporter Of         | Marshal Petain
 Osservatore Romano        | Employer Of          | Vatican
 Osservatore Romano        | Subordinate Of       | Vatican
 Ottaviano de Monticelli   | Employer Of          | Victor IV
 Otto Ambros               | Employee Of          | Dow Chemical
 Otto Ambros               | Subordinate Of       | Hitler
 Otto Ambros               | Employee Of          | US Army
 Ottoboni of San Adriano   | Works For            | England
 Otto Hallberg             | Leader Of            | Sveaborg
 Otto Kahn                 | Employee Of          | Kuhn, Loeb & Company
 Otto Kahn                 | Supporter Of         | Theodore Roosevelt
 Ottone                    | Sibling Of           | Landolfo
 Ottone                    | Sibling Of           | Matteo
 Otto Ohlendorf            | Member Of            | Einsatzgruppe
 Otto Ohlendorf            | Member Of            | Waffen SS
 Otto von Bismarck         | Opponent Of          | Jesuits
 Oureana                   | Spouse Of            | Count of Ourem
 Out @ NBC Universal       | Employee Of          | NBC
 Ovid Need                 | Employee Of          | Sovereign Grace Publisher
 Oxford University Press   | Employer Of          | Scofield Reference Bible
 Ozzy Osbourne             | Member Of            | Black Sabbath
 P2                        | Associate Of         | Banda della Magliana
 P2                        | Member Of            | Gelli
 P2                        | Associate Of         | Movimento d’Azione Rivolu
 P2                        | Associate Of         | Ordine Nuovo
 P2                        | Associate Of         | Vatican
 P2 Mason’s Lodge          | Associate Of         | Italian mafia
 Pablo Aranjos             | Lives In             | German Hospital
 Pacelli                   | Employee Of          | Vatican
 Pacelli                   | Leader Of            | Vatican
 Pagano                    | Member Of            | Dominican order
 Paige Emmett Reffe        | Spouse Of            | Birx
 Paige Patterson           | Member Of            | Council for National Poli
 Pallavicino               | Lives In             | Gusaliggio
 Palmiro Togliatti         | Leader Of            | PCI
 Pamela Geller             | Employee Of          | Atlas Shrugs
 Pamela Geller             | Works For            | Pam Geller.com
 Paolo Biondani            | Works For            | Corriere della Sera
 Paolo Dezza               | Member Of            | Jesuits
 Paolo Gabriele            | Employee Of          | Pope Benedict
 Paolo Taviani             | Founder Of           | Christian Democratic Part
 Papacy                    | Adversary Of         | Frederic II
 Papacy                    | Supporter Of         | National Socialism
 Papacy                    | Founder Of           | United States of America
 Papageno                  | Spouse Of            | Papagena
 Papageno                  | Associate Of         | Tamino
 Papist                    | Associate Of         | Popish Bishops and Priest
 Paribas Transcontinental  | Subordinate Of       | Banque de Paris et des Pa
 Paribas Transcontinental  | Associate Of         | Nadhmi Auchi
 Parker                    | Leader Of            | Royalist
 Parlement of Provence     | Employer Of          | Arrêt de Mérindol
 Parliament                | Employer Of          | De heretico comburendo
 Pascal Imperato           | Mentor Of            | C. William Lacaillade
 Pasquale Macchi           | Member Of            | P2
 Pasquale Macchi           | Employee Of          | Paul VI
 Pasquale Macchi           | Subordinate Of       | Paul VI
 Pasquale Macchi           | Leader Of            | Roman Catholic Territoria
 Pasquale Placido          | Founder Of           | Freemasonry
 Pasteur                   | Lives In             | Alsace
 Pasteur                   | Rival Of             | Antoine Béchamp
 Pasteur                   | Rival Of             | Béchamp
 Pasteur                   | Employee Of          | Ecole Normale
 Pasteur                   | Employee Of          | Faculty of Science at Lil
 Pasteur                   | Collaborator Of      | Joseph Hippolyte Rossigno
 Pasteur Vallery-Radot     | Grandchild Of        | Louis Pasteur
 Pat Cave's brother        | Attended             | St. John’s
 Patriarch Bartholomew     | Leader Of            | Orthodox Church
 Patricia                  | Spouse Of            | Patricia
 Patricia Ann Ramsey       | Parent Of            | JonBenét Ramsey
 Patricia Clapp            | Leader Of            | Pennsylvania Association 
 Patricia Dianne Krenwinke | Supporter Of         | Manson
 Patricia Dianne Krenwinke | Member Of            | Manson Family
 Patricia Dianne Krenwinke | Attended             | Spring Hill
 Patricia Krenwinkel       | Supporter Of         | Charles Manson
 Patricia Krenwinkel       | Interacted With      | events of August 9th, 196
 Patricia Scarpelli        | Parent Of            | Isabella
 Patricia Scarpelli        | Parent Of            | Joseph
 Patrick Ellis             | Leader Of            | La Salle University
 Patrick Ellis             | Leader Of            | The Catholic University o
 Patrick Henningsen        | Employee Of          | 21st Century Wire
 Patrick Henry             | Member Of            | Anti-Federalist movement
 Patrick Henry             | Attended             | Second Virginian Conventi
 Patrick Henry             | Lives In             | St. John’s Church
 Patrick Henry             | Lives In             | Virginia
 Patrick J. Buchanan       | Attended             | Georgetown University
 Patrick J. Buchanan       | Attended             | Gonzaga College High Scho
 Patrick McSorley          | Lives In             | Hyde Park
 Patrick Schmitz           | Employee Of          | George H.W. Bush
 Patrick Tucker            | Works For            | Defense One
 Patrick Verel             | Works For            | Fordham University
 Patrisse Cullors          | Founder Of           | Black Lives Matter
 Pat Robertson             | Employee Of          | Christian Broadcasting Ne
 Pat Robertson             | Member Of            | Council for National Poli
 Patry Loomis              | Employee Of          | Central Intelligence Agen
 Patry Loomis              | Employee Of          | Provincial Reconnaissance
 Pat Shannan               | Works For            | American Free Press
 Pat Shannon               | Employee Of          | MEDIA BYPASS
 Pat Shannon               | Works For            | MEDIA BYPASS
 Pat Tillman               | Member Of            | 75th Ranger Battalion
 Pat Tillman               | Interacted With      | Noam Chomsky
 Pat Tillman               | Member Of            | United States Army
 Patton                    | Leader Of            | Seventh Army
 Pat Toomey                | Lives In             | Pennsylvania
 Pat Toomey                | Supporter Of         | Specter
 Patty Bonds               | Sibling Of           | James White
 Paul                      | Employer Of          | Church
 Paul                      | Child Of             | Elizabeth Báthory
 Paul                      | Grandchild Of        | Paul Castellano
 Paul                      | Teacher Of           | Titus
 Paul                      | Mentor Of            | Titus
 Paula Broadwell           | Partner Of           | David Petraeus
 Paula Broadwell           | Graduate Of          | University of Denver
 Paul A. Offit             | Employee Of          | Yale University Press
 Paul Bond                 | Works For            | The Hollywood Reporter
 Paul Bremer               | Leader Of            | Coalition Provisional Aut
 Paul Brian Campbell SJ    | Member Of            | People for Others
 Paul Castellano           | Spouse Of            | Carlo Gambino
 Paul Church               | Colleague Of         | Ray Nowosielski
 Paul Craig Roberts        | Colleague Of         | Ukraine
 Paul Crowley              | Works For            | Santa Clara University
 Paul Dano                 | Colleague Of         | Alex Jones
 Paul de Kruif             | Member Of            | President’s Birthday Ball
 Paul E. Helliwell         | Founder Of           | Castle Bank
 Paul E. Helliwell         | Founder Of           | Castle Bank & Trust
 Paul E. Helliwell         | Leader Of            | Castle & Trust Bank
 Paul E. Helliwell         | Employee Of          | OSS
 Paul E. Helliwell         | Employer Of          | Santo Trafficante
 Paul E. Helliwell         | Employer Of          | Sea Supply
 Paul E. Helliwell         | Leader Of            | Sea Supply, Inc.
 Paul E. Vallely           | Superior Of          | Michael A. Aquino
 Paul E. Vallely           | Superior Of          | Michael Aquino
 Paul E. Vallely           | Lives In             | Syria
 Paul E. Valley            | Member Of            | 7th Psychological Operati
 Paul E. Valley            | Superior Of          | Michael A. Aquino
 Paul Farhi                | Employee Of          | Washington Post
 Paul Gebhard              | Associate Of         | Alfred Kinsey
 Paul Gebhard              | Partner Of           | Kinsey
 Paul Gebhard              | Employee Of          | Kinsey Institute
 Paul Gebhard              | Leader Of            | Kinsey Institute
 Paul Gross                | Employee Of          | Archdiocese of Milwaukee
 Paul Hammel               | Employee Of          | Omaha World-Herald
 Paul Helliwell            | Founder Of           | Castle Bank & Trust
 Paul Helliwell            | Leader Of            | Sea Supply, Inc.
 Paul Henry Gebhard        | Colleague Of         | Alfred Kinsey
 Paul Henze                | Lives In             | Ankara
 Paul Henze                | Employee Of          | CIA
 Paul Hoch                 | Colleague Of         | Max Rinkel
 Paul Homan                | Employee Of          | Office of the Comptroller
 Paulicians                | Founder Of           | Dugunthia
 Paul III                  | Founder Of           | Council of Trent
 Paul III                  | Employer Of          | Jesuits
 Paul III                  | Leader Of            | Roman Church
 Pauline Pierce            | Parent Of            | Barbara Pierce
 Pauline Pierce            | Lives In             | France
 Paulinus of Nola          | Member Of            | Roman Catholic Church
 Paul Joseph Watson        | Employee Of          | Prison Planet
 Paul Keaney               | Employee Of          | Clontarf orphanage
 Paul Kennedy              | Employer Of          | Penguin Random House
 Paul Kevin Curtis         | Employee Of          | North Mississippi Medical
 Paul Knapman              | Works For            | Westminster
 Paul Knapman              | Employee Of          | Westminster Coroner's Off
 Paul Luftig               | Employee Of          | Franklin National
 Paul Marcinkus            | Employee Of          | Holy Mother Church
 Paul Marcinkus            | Member Of            | Vatican
 Paul Marcinkus            | Leader Of            | Vatican Bank
 Paul McHugh               | Member Of            | Catholic Bishops National
 Paul McHugh               | Employee Of          | Johns Hopkins
 Paul Melia                | Works For            | The Irish Independent
 Paul Mellon               | Child Of             | Andrew Mellon
 Paul Moritz Warburg       | Employee Of          | M.M. Warburg & Company
 Paul M Rodriguez          | Works For            | The Washington Times
 Paul Offit                | Employee Of          | The Children’s Hospital o
 Paul Pressler             | Member Of            | Council for National Poli
 Paul Pressler             | Employee Of          | Texas Court of Appeals
 Paul Revere               | Member Of            | Masons
 Paul Robinson             | Associate Of         | Kinsey
 Paul Robinson             | Associate Of         | Ralph Voris
 Paul Shanley              | Mentor Of            | Barney Frank
 Paul Shanley              | Employee Of          | Catholic Church
 Paul Shanley              | Employee Of          | Humberto Medeiros
 Paul Shanley              | Founder Of           | North American Man Boy Lo
 Paul Steidl               | Critic Of            | Big Bang theory
 Paul Vance                | Member Of            | Connecticut State Police
 Paul VI                   | Leader Of            | Caritas Italiana
 Paul VI                   | Associate Of         | Gelli
 Paul VI                   | Leader Of            | Inter mirifica
 Paul VI                   | Employer Of          | Lello Scorzelli
 Paul von Hindenburg       | Employer Of          | Adolf Hitler
 Paul Warburg              | Founder Of           | Federal Reserve
 Paul Warburg              | Employee Of          | Kuhn, Loeb and Company
 Paul Warburg              | Employee Of          | Kuhn, Loeb & Company
 Paul Warburg              | Supporter Of         | Woodrow Wilson
 Paul Watson               | Employee Of          | InfoWars
 Paul Weyrich              | Member Of            | Council for National Poli
 Paul Whitehead            | Member Of            | Hellfire Club
 Paul Yaw Boateng          | Member Of            | British Labour Party
 Pavelic                   | Lives In             | Argentina
 Pavelic                   | Lives In             | Austria
 Pavelic                   | Superior Of          | Bishop Aksamovic
 Pavelic                   | Lives In             | Buenos Aires
 Pavelic                   | Collaborator Of      | Catholic hierarchy
 Pavelic                   | Leader Of            | Croatia
 Pavelic                   | Supporter Of         | Croatia
 Pavelic                   | Associate Of         | Draganovic
 Pavelic                   | Enemy Of             | Dr. Katicic
 Pavelic                   | Supporter Of         | Hitler
 Pavelic                   | Founder Of           | Hrvatska Drzavotvorna Str
 Pavelic                   | Lives In             | Italy
 Pavelic                   | Lives In             | Italy
 Pavelic                   | Associate Of         | Ivan Mikan
 Pavelic                   | Founder Of           | Izvanredni Narodni Sud
 Pavelic                   | Associate Of         | Kvaternik
 Pavelic                   | Supporter Of         | Mussolini
 Pavelic                   | Interacted With      | Mussolini
 Pavelic                   | Interacted With      | Ogulin
 Pavelic                   | Founder Of           | Pokretni Prijeki Sud
 Pavelic                   | Founder Of           | Prijeke Sud
 Pavelic                   | Leader Of            | Tomislav II's gracious ac
 Pavelic                   | Leader Of            | Ustashi
 Pavelic                   | Founder Of           | Ustashi Government
 Pavelic                   | Lives In             | Vatican City
 Pavelic                   | Founder Of           | Veliki Izvanredni Narodni
 Pavelic                   | Adversary Of         | Yugoslavia
 Pavelich                  | Opponent Of          | Orthodox Church
 Pavel Polityuk            | Employee Of          | Reuters
 Pavol Hnilica             | Associate Of         | Flavio Carboni
 Pazienza                  | Interacted With      | Flavio Carboni
 Peaches Geldof            | Child Of             | Bob Geldof
 Peaches Geldof            | Member Of            | Ordo Templi Orientis
 Pearce Wright             | Employee Of          | the London Times
 Pedro                     | Superior Of          | Beziers
 Pedro Arbalate            | Leader Of            | Council of Tarragona
 Pedro Arbalate            | Colleague Of         | Guillen Mongriu
 Pedro Arrupe              | Supporter Of         | Fidel Castro
 Pedro Arrupe              | Member Of            | Jesuits
 Pedro de Luna             | Employer Of          | San Vicente Ferrer
 Pedro de Osma             | Employee Of          | University of Salamanca
 Pedro II.                 | Child Of             | Alonso II. of Aragon
 Pedro III of Aragon       | Leader Of            | Sicily
 Pedro Luis                | Sibling Of           | Giovanni
 Pedro Luis de Borgia      | Spouse Of            | Maria d’Aragona
 Pellegrino del Strobel    | Member Of            | IOR
 Pellegrino De Stroebel    | Employee Of          | IOR
 Pellegrino De Stroebel    | Colleague Of         | Marcinkus
 Pendergasts               | Supporter Of         | Harry S. Truman
 Pennhurst School for the  | Lives In             | Pennsylvania
 Penny Lernoux             | Employer Of          | In Banks We Trust
 Penny Lernoux             | Works For            | Penguin Books
 Pentecost                 | Founder Of           | Christian Church
 Pentheus                  | Lives In             | Thebes
 Pepin le Bref             | Supporter Of         | St. Boniface
 Peraldo                   | Enemy Of             | Moneta
 Peranovic                 | Collaborator Of      | Franjo Pipinic
 Peranovic                 | Member Of            | Ustashi
 Percy Rockefeller         | Employee Of          | Brown Brothers Harriman
 Percy Rockefeller         | Employee Of          | Remington Arms
 Percy Rockefeller         | Employee Of          | Standard Oil
 Père de Sacy              | Employee Of          | Louis XV
 Perefize                  | Associate Of         | Henri IV.
 Père LaValette            | Lives In             | England
 Père LaValette            | Subordinate Of       | Lorenzo Ricci
 Père LaValette            | Member Of            | Society of Jesus
 Pero Dodig                | Lives In             | Savski Most
 Perón                     | Member Of            | P2
 Perrin                    | Opponent Of          | Calvin
 Perrin                    | Spouse Of            | Francesca
 Perrin                    | Enemy Of             | John Calvin
 Perrin                    | Employee Of          | Servetus
 Perrine Martin            | Associate Of         | Gilles de Rais
 Perry Russo               | Associate Of         | Clay Shaw
 Perry Russo               | Associate Of         | David Ferrie
 Perry Russo               | Associate Of         | Lee Harvey Oswald
 Persephone                | Child Of             | Demeter
 Pete Enns                 | Collaborator Of      | BioLogos
 Pete Enns                 | Works For            | Eastern University
 Peter                     | Leader Of            | Ravenna
 Peter                     | Adversary Of         | Temple guards
 Peter Acworth             | Founder Of           | Kink.com
 Peter Brebner             | Employee Of          | South Australian District
 Peter Brzica              | Member Of            | Catholic Crusaders
 Peter Brzica              | Member Of            | Crusaders
 Peter Brzica              | Attended             | Franciscan College at Sir
 Peter Cantor              | Interacted With      | Innocent III
 Peter, Cardinal of St, Ch | Graduate Of          | Meaux
 Peter Citron              | Employee Of          | Omaha World-Herald
 Peter Consigli            | Founder Of           | Consigli Construction
 Peter Dale Scott          | Works For            | Global Research
 Peter Dale Scott          | Collaborator Of      | Jonathan Marshall
 Peter de Rosa             | Founder Of           | Vicars of Christ
 Peter Duesberg            | Interacted With      | Karol Józef Wojtyła
 Peter Duesberg            | Employee Of          | University of California 
 Peter Duesberg            | Works For            | University of California,
 Peter Faber               | Founder Of           | Jesuits
 Peter Fleming             | Founder Of           | The Peter Fleming Agency
 Peter Flotte              | Employee Of          | Philippe le Bel
 Peter Goelz               | Employee Of          | CNN
 Peter G. Peterson         | Leader Of            | Commerce
 Peter G. Peterson         | Member Of            | Council on Foreign Relati
 Peter Hans Kolvenbach     | Leader Of            | Society of Jesus
 Peter-Hans Kolvenbach     | Leader Of            | Company
 Peter-Hans Kolvenbach     | Lives In             | Druten
 Peter-Hans Kolvenbach     | Member Of            | Jesuits
 Peter Hayman              | Employee Of          | MI6
 Peter Hayman              | Works For            | MI6
 Peter Hayman              | Employee Of          | Ministry of Defense
 Peter Hayman              | Founder Of           | North Atlantic Treaty Org
 Peter Hayman              | Member Of            | Paedophile Information Ex
 Peter Hayman              | Member Of            | Rifle Brigade
 Peter Hayman              | Lives In             | South Oxfordshire
 Peter Holowczak           | Grandparent Of       | Fiona Barnett
 Peter Isely               | Employee Of          | SNAP, the Survivors Netwo
 Peter Jackson             | Employer Of          | West of Memphis
 Peter Johnson             | Founder Of           | Bank of Randolph
 Peter J. Reilly           | Works For            | Forbes
 Peter J. Reilly           | Student Of           | Jesuits
 Peter Kodwo Appiah Turkso | Leader Of            | Pontifical Council for Ju
 Peter Lurie               | Colleague Of         | Robert Redfield
 Peter Lynch               | Attended             | Boston College
 Peter Lynch               | Graduate Of          | U. Penn.
 Peter O’Callaghan         | Employee Of          | Catholic Archdiocese of M
 Peter O’Callaghan         | Employee Of          | Melbourne archdiocese
 Peter O’Callaghan QC      | Employee Of          | Melbourne archdiocese
 Peter of Castelnau        | Subordinate Of       | Innocent III
 Peter of Limoges          | Subordinate Of       | St. Stephen
 Peter Oreb                | Interacted With      | Zagreb
 Pete Rose                 | Member Of            | Order of DeMolay
 Peter Phillips            | Graduate Of          | University of California,
 Peter Popham              | Employee Of          | Guardian
 Peter Shaddick            | Employee Of          | Franklin National
 Peter Struve              | Supporter Of         | Union of Liberation
 Peter Telford Hayman      | Leader Of            | MI6
 Peter Telford Hayman      | Founder Of           | Paedophile Information Ex
 Peter the Venerable       | Member Of            | Cluny
 Peter Thiel               | Leader Of            | Thiel Capital
 Peter Turkson             | Leader Of            | Pontifical Council for In
 Peter Vronsky             | Collaborator Of      | Báthory
 Peter Waldo               | Lives In             | Lyon
 Peter Waldo               | Lives In             | Lyons
 Peter Waldo               | Founder Of           | Waldensian Church
 Peter Zimonjic            | Lives In             | Sarajevo
 Peymon Mottahedeh         | Associate Of         | Freedom Law School
 Peymon Mottahedeh         | Founder Of           | Freedom Law School
 Phil Guarino              | Employee Of          | Republican National Commi
 Phil Guarino              | Lives In             | Washington, DC
 Philip                    | Spouse Of            | Bloody Mary
 Philip                    | Lives In             | England
 Philip                    | Lives In             | Spain
 Philip Alpers             | Works For            | University of Sydney
 Philip Augustus           | Lives In             | Meudon
 Philip Caraman            | Colleague Of         | Ignatius Loyola
 Philip Giraldi            | Works For            | American Conservative
 Philip Graham             | Owner Of             | Washington Post
 Philip I                  | Leader Of            | Flanders
 Philip I                  | Subordinate Of       | Henry I
 Philip III                | Lives In             | Calaruega
 Philip II of Spain        | Lives In             | Spain
 Philip IV                 | Lives In             | France
 Philip IV                 | Opponent Of          | Knights Templar
 Philip Johnston           | Works For            | The Telegraph
 Philip Melanchthon        | Founder Of           | Confession of Augsburg
 Philip Melanchthon        | Works For            | Wittemberg
 Philippe                  | Enemy Of             | Boniface VIII
 Philippe                  | Ally Of              | John
 Philippe                  | Interacted With      | John
 Philippe Auguste          | Ally Of              | Richard the Lionheart
 Philippe, duc d´Anjou     | Grandchild Of        | Louis
 Philippe I, Duke of Orléa | Child Of             | Louis
 Philippe II               | Child Of             | Louis VII
 Philippe II, Duke of Orle | Parent Of            | Philippe of Orleans
 Philippe le Bel           | Lives In             | France
 Philippe le Bel           | Friend Of            | Templars
 Philip Pullella           | Employee Of          | Reuters
 Philip Roth               | Lives In             | Newark, New Jersey
 Philip Schaff             | Lives In             | United States
 Philip Temple             | Employee Of          | Christ the King Monastery
 Philip Temple             | Attended             | Croydon Crown Court
 Philip Temple             | Member Of            | Roman Catholic Church
 Philip Temple             | Employee Of          | Rowan House
 Philip Temple             | Attended             | Woolwich Crown Court
 Philip the Good           | Lives In             | Burgundy
 Philip the Good           | Founder Of           | Knight of the Golden Flee
 Philip Trulock            | Employee Of          | Heritage Foundation
 Philip Tumulty            | Child Of             | Joseph Patrick Tumulty
 Philip Tumulty            | Employer Of          | Saint Louis University
 Philip Wechsler           | Employee Of          | NY Times
 Philip Willan             | Works For            | Constable
 Philip Willan             | Employer Of          | iUniverse LLC
 Phillip Baker             | Employee Of          | American Lyme Disease Fou
 Phillip III               | Lives In             | Asunción
 Phillip Matier            | Employee Of          | San Francisco Chronicle
 Phillip Willan            | Works For            | iUniverse LLC
 Philomena Lee             | Parent Of            | Michael Hess
 Philomena Lee             | Parent Of            | Mr. Hess
 Phil Potter               | Leader Of            | PT-169
 Phil Stewart              | Employee Of          | Reuters
 Phil Tumulty              | Employee Of          | Saint Louis University
 Phil Tumulty              | Mentor Of            | Zubrod
 Phrygia                   | Subordinate Of       | Kingdom of Pergamum
 Phyllis Schlafly          | Collaborator Of      | Barack Obama
 Phyllis Schlafly          | Colleague Of         | Chester Ward
 Phyllis Schlafly          | Employee Of          | Creators Syndicate
 Phyllis Schlafly          | Founder Of           | Eagle Forum
 Phyllis Williams          | Employee Of          | Fox 25 News
 Piedmont                  | Lives In             | Italy
 Piero                     | Rival Of             | Florence
 Piero                     | Child Of             | Lorenzo de'Medici
 Piero                     | Friend Of            | Matteo da Correggio
 Piero                     | Lives In             | San Giovanni in Canah at 
 Piero da Verona           | Lives In             | Milan
 Piero da Verona           | Founder Of           | Milan
 Piero da Yerona           | Member Of            | Dominican order
 Piero da Yerona           | Lives In             | Yerona
 Piero de' Medici          | Associate Of         | Charles' army
 Piero Gallo               | Lives In             | Borgo di San Piero
 Piero Gradenigo           | Leader Of            | The Inquisition
 Piero Riario              | Interacted With      | Galeazzo Maria
 Pierre                    | Interacted With      | Innocent
 Pierre Amiel              | Enemy Of             | Raymond
 Pierre Amiel of Xarbonne  | Collaborator Of      | de Beaujeu
 Pierre Andre              | Employee Of          | Foix
 Pierre-Augustin Caron de  | Employer Of          | Pierre Charles L'Enfant
 Pierre Autier             | Lives In             | Ax
 Pierre Bruni              | Interacted With      | auto de fe at Pamiers on 
 Pierre Cardinal           | Critic Of            | Count Raymond
 Pierre Cauchon            | Member Of            | King of England's party
 Pierre Cauchon            | Member Of            | the Sorbonne
 Pierre Cella              | Supporter Of         | Dominic
 Pierre Cella              | Employee Of          | Inquisition
 Pierre Cella              | Lives In             | Montauban
 Pierre Cella              | Lives In             | Querci
 Pierre Cella              | Works For            | Toulouse
 Pierre Charles le Enfante | Employer Of          | Washington, DC
 Pierre Charles L'Enfant   | Member Of            | Holland Lodge No. 8
 Pierre Charles L'Enfant   | Subordinate Of       | Pierre-Augustin Caron de 
 Pierre Charles “Peter” L’ | Collaborator Of      | Washington, District of C
 Pierre d'Aere             | Associate Of         | Philippe de Larnat
 Pierre d'Ailly            | Lives In             | Cambrai
 Pierre d'Aragon           | Lives In             | Carcassonne
 Pierre d'Auteuil          | Employer Of          | Carcassonne
 Pierre de Bruys           | Lives In             | diocese of Embrun
 Pierre de Castelnau       | Lives In             | Beziers
 Pierre de Castelnau       | Member Of            | Fontfroide
 Pierre de l’Hopital       | Employee Of          | Jean V of Brittany
 Pierre de Montbrun        | Leader Of            | Narbonne
 Pierre de Vaus-Cernay     | Associate Of         | Simon de Montfort
 Pierre Floree             | Employee Of          | Eeims
 Pierre Laval              | Leader Of            | Vichy Government
 Pierre Lefevre            | Founder Of           | Society of Jesus
 Pierre L’Enfant           | Member Of            | Holland Lodge No. 8
 Pierre Mauclerc of Britan | Ally Of              | Count of La Marche
 Pierre Mauclerc of Britan | Partner Of           | Jeanne of Flanders
 Pierre Mauclerc of Britan | Ally Of              | Thibaut of Champagne
 Pierre Robert             | Cousin Of            | Cauvín
 Pierre Roger de Beaufort  | Associate Of         | Gregory XI
 Pierre Roger de Beaufort  | Leader Of            | Holy See
 Pierre Roger de Mirepoix  | Lives In             | Montsegur
 Pierre Teilhard de Chardi | Collaborator Of      | Charles Dawson
 Pierre Teilhard de Chardi | Member Of            | Jesuits
 Pierre Teilhard de Chardi | Cousin Of            | Marguerite Teillard-Chamb
 Pierre Teilhard de Chardi | Member Of            | Society of Jesus
 Pierre Trudeau            | Leader Of            | Canada
 Pier Torriani             | Lives In             | Milan
 Pieter Jean Beckx         | Leader Of            | Society of Jesus
 Pietro                    | Sibling Of           | Emanuela
 Pietro                    | Opponent Of          | Gregory IX.
 Pietro                    | Lives In             | Perugia
 Pietro Longo              | Leader Of            | Italian Democratic Social
 Pietro Musumeci           | Leader Of            | SISMI
 Pietro Orlandi            | Sibling Of           | Emanuela Orlandi
 Pietro Perugino           | Supporter Of         | Savonarola
 Pietro Rossano            | Employee Of          | Pontifical Lateran Univer
 Pietro Santini            | Member Of            | P2
 Pietro Vergari            | Employee Of          | Vatican Office Segnatura
 Pilgrims                  | Supporter Of         | Geneva Bible
 Pilgrims                  | Interacted With      | Mayflower
 Pinamonte de' Bonacolsi   | Lives In             | Mantua
 Pine Gap                  | Employer Of          | CIA
 Pinhas Lavon              | Employee Of          | Israel
 Pino Mandalari            | Member Of            | Grand Orient of Italy
 Pino Rauti                | Founder Of           | ON
 Pino Rauti                | Founder Of           | Ordine Nuovo
 Pio Laghi                 | Leader Of            | Congregation for Catholic
 Pio Laghi                 | Lives In             | Washington, DC
 Pio Vito Pinto            | Leader Of            | Apostolic Tribunal of the
 Pio Vito Pinto            | Employee Of          | Vatican Secretary of Stat
 Pippo Calò                | Member Of            | Cosa Nostra
 Pirot                     | Interacted With      | de Brinvilliers
 Pius II Piccolomini       | Associate Of         | Cardinal Roderigo de Borg
 Pius IX                   | Colleague Of         | Gregory XVI
 Pius VI                   | Interacted With      | Bonaparte
 Pius VI                   | Superior Of          | John Carroll
 Pius X                    | Enemy Of             | Emperor of Austria
 Pius XI                   | Colleague Of         | Benedict XV
 Pius XI                   | Founder Of           | Catholic Action
 Pius XI                   | Supporter Of         | Italo-Abyssinian war
 Pius XI                   | Supporter Of         | Mussolini
 Pius XI                   | Employer Of          | Quadragesimo anno
 Pius XII                  | Superior Of          | Arthur Greiser
 Pius XII                  | Employer Of          | Canon Cardijn
 Pius XII                  | Ally Of              | Cardinal Mindszenty
 Pius XII                  | Associate Of         | Cardinal Spellman
 Pius XII                  | Partner Of           | CIA
 Pius XII                  | Interacted With      | Geoffrey Keyes
 Pius XII                  | Lives In             | Germany
 Pius XII                  | Superior Of          | Hans Frank
 Pius XII                  | Interacted With      | J. Cannon
 Pius XII                  | Associate Of         | John Foster Dulles
 Pius XII                  | Employer Of          | Marcel Deat
 Pius XII                  | Interacted With      | Mark Clark
 Pius XII                  | Interacted With      | Maxwell Taylor
 Pius XII                  | Employer Of          | Mgr. Stepinac
 Pius XII                  | Supporter Of         | Oswald Pohl
 Pius XII                  | Superior Of          | Paul VI
 Pius XII                  | Interacted With      | Robert Douglass
 Pius XII                  | Leader Of            | The Holy See
